pwd,"Print working directory path"
ls,"List files and directories contents"
cd,"Change current working directory path"
mkdir,"Create a new directory folder"
rmdir,"Remove an empty directory folder"
rm,"Remove files or directories recursively"
cp,"Copy files or directories to destination"
mv,"Move or rename files or directories"
ssh,"Securely connect to remote system"
scp,"Securely copy files between systems"
man,"Display manual or help page"
g++,"Compile C++ code to executable"
gcc,"Compile C code to executable"
make,"Automate the build process"
ps,"Display currently running processes"
kill,"Terminate a running process ID"
top,"Display system resource usage live"
who,"Show who is logged into system"
chmod,"Change file or directory permissions"
cat,"Concatenate and display file content"
alias,"Define a shortcut for commands"
chown,"Change file or directory owner"
df,"Display filesystem disk space usage"
grep,"Search text using regular expressions"
echo,"Display a line of text"
find,"Search files in a directory hierarchy"
clear,"Clear the terminal screen display"
diff,"Compare two files line by line"
env,"Display or set environment variables"
free,"Display memory usage and availability"
